20	0	0	0	0	0	230	7	4	1	2	8	2	2	10	15	2	2
25	0	0	0	40	2	220	6	6	2	2	8	4	1	4	190	2	4
45	0	0.5	1	80	3	460	13	8	3	3	12	2	4	6	220	6	6
30	0	0	0	60	3	250	7	7	2	2	8	5	1	110	10	2	2
25	0	0	0	30	1	270	8	5	2	2	8	2	2	0	100	2	2
15	0	0	0	115	5	260	7	4	1	2	8	2	0	10	15	4	2
10	0	0	0	0	0	140	4	2	1	1	4	1	1	4	10	2	2
20	0	0	0	0	0	200	6	5	2	3	12	2	1	4	10	4	2
25	0	0	0	20	1	190	5	5	2	2	8	3	1	0	70	4	2
10	0	0	0	10	0	70	2	2	1	1	4	1	0	2	8	2	2
10	0	0	0	10	0	125	4	2	1	1	4	2	1	6	6	2	2
15	0	0	0	35	1	170	5	2	1	1	4	1	1	130	6	2	4
20	0	0	0	15	0	300	9	3	1	1	4	0	3	0	2	0	2
45	0	0	0	5	0	190	5	11	4	3	12	9	1	0	20	4	4
110	0	0	0	0	0	620	18	26	9	2	8	1	3	0	45	2	6
10	0	0	0	55	2	190	5	3	1	1	4	2	0	0	30	2	2
20	0	0	0	0	0	260	7	4	1	2	8	2	1	6	30	2	2
90	20	2.5	4	0	0	250	7	18	6	2	8	5	4	2	10	0	2
100	0	0	0	70	3	440	13	23	8	4	16	7	2	120	30	4	4
25	0	0	0	20	1	340	10	5	2	1	4	3	1	20	40	2	4
																	
